,Address,Bed_Info,Locality,Lot Size,Price,Sqft_info,ValueFullBath_info,ValueHalfBath_info
0,0 Gateway,None,"Rock Springs, WY 82901",,"$725,000",None,None,None
1,1003 Winchester Blvd.,4,"Rock Springs, WY 82901",0.21 Acres,"$452,900",None,4,None
2,600 Talladega,5,"Rock Springs, WY 82901",,"$396,900","3,154",3,None
3,3239 Spearhead Way,4,"Rock Springs, WY 82901","Under 1/2 Acre, ","$389,900","3,076",3,1
4,522 Emerald Street,3,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000","1,172",3,None
5,1302 Veteran's Drive,4,"Rock Springs, WY 82901",0.27 Acres,"$252,900","1,932",2,None
6,1021 Cypress Cir,4,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000","1,676",3,None
7,913 Madison Dr,3,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000","1,344",2,None
8,1344 Teton Street,3,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900","1,920",2,None
9,4 Minnies Lane,3,"Rock Springs, WY 82901",2.02 Acres,"$196,900","1,664",2,None
